relative_time_s,lord_ch1_x_g,our_calibrated_to_lord_ch1_x_g,lord_ch3_z_g,our_calibrated_to_lord_ch3_z_g,lord_ch1_x_norm,our_calibrated_ch1_x_norm,lord_ch3_z_norm,our_calibrated_ch3_z_norm,our_x_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
4.280,0.982049687,0.983765614,-0.174579669,0.240044115,-0.020173371,0.078706512,-0.864467510,1.536141841,3754,1264,2026-05-03T23:57:15.857Z,2026-05-03 19:57:15.857,102630,22
4.320,1.028932338,0.981192636,0.126940046,0.329906967,0.680131028,-0.475510769,0.526952771,2.143469282,3812,1687,2026-05-03T23:57:15.897Z,2026-05-03 19:57:15.897,102630,23
4.360,1.044362378,0.981785597,0.423325131,0.252030754,0.910615545,-0.347787510,1.894678320,1.617152119,3804,1299,2026-05-03T23:57:15.937Z,2026-05-03 19:57:15.937,102630,24
4.400,1.036923242,0.976593365,0.473046398,0.359265328,0.799494269,-1.466190227,2.124126599,2.341884292,3928,1776,2026-05-03T23:57:15.977Z,2026-05-03 19:57:15.977,102630,25
4.440,1.011022124,0.972473185,0.168523273,0.288805064,0.412599200,-2.353673677,0.718846512,1.865686938,4041,1364,2026-05-03T23:57:16.017Z,2026-05-03 19:57:16.017,102630,26
4.480,0.943249221,0.981998618,0.422287523,0.033651179,-0.599751030,-0.301903053,1.889890081,0.141259618,3819,192,2026-05-03T23:57:16.057Z,2026-05-03 19:57:16.057,102630,27
4.520,0.906677091,0.985182532,0.310530034,0.010102568,-1.146043163,0.383909591,1.374163816,-0.017890879,3739,114,2026-05-03T23:57:16.097Z,2026-05-03 19:57:16.097,102630,28
4.560,0.903368990,0.979078588,0.158261403,0.016574648,-1.195457551,-0.930875064,0.671491154,0.025849908,3896,67,2026-05-03T23:57:16.137Z,2026-05-03 19:57:16.137,102630,29
4.600,0.899812806,0.986018982,0.133981409,0.035693719,-1.248577666,0.564080149,0.559446484,0.155063886,3715,255,2026-05-03T23:57:16.177Z,2026-05-03 19:57:16.177,102630,30
4.640,0.925176570,0.980044384,0.017836610,-0.142546368,-0.869709242,-0.722843399,0.023474138,-1.049550641,3886,-729,2026-05-03T23:57:16.217Z,2026-05-03 19:57:16.217,102630,31
4.680,0.905494204,0.987165242,-0.010013268,-0.023929911,-1.163712415,0.810983783,-0.105044438,-0.247895359,3691,-33,2026-05-03T23:57:16.257Z,2026-05-03 19:57:16.257,102630,32
4.720,0.934933989,0.978575450,-0.202793049,-0.058085038,-0.723958883,-1.039250690,-0.994663534,-0.478728740,3916,-319,2026-05-03T23:57:16.297Z,2026-05-03 19:57:16.297,102630,33
4.760,0.819563687,0.986939008,-0.099303990,0.016991815,-2.447289981,0.762253033,-0.517093519,0.028669277,3693,172,2026-05-03T23:57:16.337Z,2026-05-03 19:57:16.337,102630,34
4.800,1.047236872,0.978662228,-0.180772829,0.088486306,0.953552975,-1.020558816,-0.893047028,0.511856335,3900,427,2026-05-03T23:57:16.377Z,2026-05-03 19:57:16.377,102630,35
