relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_mag_raw_g,sensor_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_mag_raw_counts_interp,thingy_mag_z_interp
5.203125,2026-05-04T22:12:13.710937Z,2026-05-04T22:13:15.135000Z,0.956667184829712,0.3288202881813049,-0.7675275802612305,1.269816313846732,1.6925031056850293,3597.875,11.62499999999974,-2977.8750000000014,4672.244313379224,1.5237238295490403
5.2109375,2026-05-04T22:12:13.718750Z,2026-05-04T22:13:15.142812500Z,0.9479814171791076,0.3430810570716858,-0.7733400464057922,1.2706015136199262,1.6987287784016938,3597.6796875,29.789062499999723,-2882.3671875000014,4613.7445342821575,1.3868222997411184
5.21875,2026-05-04T22:12:13.726562Z,2026-05-04T22:13:15.150625Z,0.9405141472816468,0.3471311628818512,-0.7855646014213562,1.2736477725363964,1.7228818814356053,3597.484375,47.95312499999971,-2786.8593750000014,4555.244755185091,1.2499207699331962
5.2265625,2026-05-04T22:12:13.734375Z,2026-05-04T22:13:15.158437500Z,0.9426387548446656,0.3430345058441162,-0.7871022820472717,1.2750570562680092,1.7340557757456472,3597.2890625,66.11718749999969,-2691.351562500002,4496.744976088025,1.1130192401252763
5.234375,2026-05-04T22:12:13.742187Z,2026-05-04T22:13:15.166250Z,0.9399517774581908,0.3412344455718994,-0.7751083374023438,1.2652048156335003,1.6559395716785543,3597.09375,84.28124999999967,-2595.843750000002,4438.245196990959,0.9761177103173542
5.2421875,2026-05-04T22:12:13.750000Z,2026-05-04T22:13:15.174062500Z,0.9361087679862976,0.3458431959152222,-0.7421712279319763,1.2436741025010274,1.485227381105865,3601.0625,101.1249999999997,-2428.8359375000045,4356.905601439149,0.7857663066560909
5.25,2026-05-04T22:12:13.757812Z,2026-05-04T22:13:15.181875Z,0.9296569228172302,0.3523916602134705,-0.6866916418075562,1.2082993367780868,1.2047488056679276,3608.875,116.74999999999969,-2195.8281250000045,4254.483098390651,0.5460765578994323
5.2578125,2026-05-04T22:12:13.765625Z,2026-05-04T22:13:15.189687500Z,0.9278916120529176,0.3572797477245331,-0.6193104386329651,1.171399624915436,0.912179274653481,3616.6875,132.3749999999997,-1962.8203125000048,4152.060595342154,0.3063868091427738
5.265625,2026-05-04T22:12:13.773437Z,2026-05-04T22:13:15.197500Z,0.9215335249900818,0.3622919619083405,-0.5603864789009094,1.1377664562989187,0.6455094316668711,3624.5,147.99999999999966,-1729.812500000005,4049.6380922936564,0.06669706038611624
5.2734375,2026-05-04T22:12:13.781250Z,2026-05-04T22:13:15.205312500Z,0.914909839630127,0.3671489953994751,-0.5154246687889099,1.112439206730429,0.44469535605239113,3632.3125,163.62499999999966,-1496.8046875000052,3947.2155892451588,-0.17299268837054235
