relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_dynamic_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_dynamic_mag_z_interp
23.093749988,2026-05-04T22:12:31.601562Z,2026-05-04T22:13:33.025624988Z,0.936983585357666,0.3359273970127106,-0.00940434448421,-0.491357431934059,3773.187506,-11.0,-426.8437193999983,-0.4714978970028903
23.101562488,2026-05-04T22:12:31.609375Z,2026-05-04T22:13:33.033437488Z,0.9369523525238036,0.3349497616291046,0.0061877481639385,-0.4870360330260576,3769.281256,-11.0,-446.76559439999875,-0.4662859164699731
23.109374988,2026-05-04T22:12:31.617187Z,2026-05-04T22:13:33.041249988Z,0.9374366402626038,0.3359584212303162,0.0187967382371425,-0.4987706690790051,3765.375006,-11.0,-466.68746939999915,-0.46107393593705587
23.117187488,2026-05-04T22:12:31.625000Z,2026-05-04T22:13:33.049062488Z,0.9362337589263916,0.3345308005809784,0.033743005245924,-0.48399500751375224,3761.468756,-11.0,-486.6093443999996,-0.45586195540413865
23.124999988,2026-05-04T22:12:31.632812Z,2026-05-04T22:13:33.056874988Z,0.9367805123329164,0.3326221108436584,0.0501962006092071,-0.4904317333748304,3764.437494,-4.125011999999994,-475.0781493,-0.4615728272051093
23.132812488,2026-05-04T22:12:31.640625Z,2026-05-04T22:13:33.064687488Z,0.9400142431259156,0.3319083154201508,0.0684177279472351,-0.5366038957680509,3768.3437440000002,3.6874880000001737,-459.25783679999967,-0.4687732005349916
23.140624988,2026-05-04T22:12:31.648437Z,2026-05-04T22:13:33.072499988Z,0.9358900785446168,0.3307600021362305,0.0831794738769531,-0.49799583170089823,3772.2499940000002,11.499988000000341,-443.4375242999993,-0.47597357386487393
23.148437488,2026-05-04T22:12:31.656250Z,2026-05-04T22:13:33.080312488Z,0.9366555213928224,0.3308065533638,0.0979412198066711,-0.5220017698273012,3776.1562440000002,19.312488000000506,-427.617211799999,-0.4831739471947563
23.156249988,2026-05-04T22:12:31.664062Z,2026-05-04T22:13:33.088124988Z,0.9388269782066344,0.3296737670898438,0.1137793436646461,-0.5611022586261661,3780.0624940000002,27.124988000000673,-411.79689929999864,-0.49037432052463864
23.164062488,2026-05-04T22:12:31.671875Z,2026-05-04T22:13:33.095937488Z,0.9396861791610718,0.3268029987812042,0.1288486272096634,-0.5440469763909553,3783.5234324000003,30.039060400000054,-379.3516203999985,-0.4927838015742654
23.171874988,2026-05-04T22:12:31.679687Z,2026-05-04T22:13:33.103749988Z,0.9376084804534912,0.3258719146251678,0.1402736008167267,-0.5540672363143583,3786.8437449,31.40624789999996,-341.656307900001,-0.4936803565318845
23.179687488,2026-05-04T22:12:31.687500Z,2026-05-04T22:13:33.111562488Z,0.9373272657394408,0.3262443542480469,0.1506221890449524,-0.5391252196513289,3790.1640574,32.77343539999987,-303.9609954000036,-0.49457691148950367
23.187499988,2026-05-04T22:12:31.695312Z,2026-05-04T22:13:33.119374988Z,0.9389363527297974,0.3256701827049255,0.1625238507986069,-0.5024303789731388,3793.4843698999994,34.14062289999978,-266.26568290000614,-0.4954734664471228
23.195312488,2026-05-04T22:12:31.703125Z,2026-05-04T22:13:33.127187488Z,0.9379053115844728,0.3248322308063507,0.1724880337715149,-0.4985939676966922,3796.8046823999994,35.507810399999684,-228.57037040000867,-0.49637002140474196
23.203124988,2026-05-04T22:12:31.710937Z,2026-05-04T22:13:33.134999988Z,0.9384832978248596,0.3250805139541626,0.1806992590427399,-0.47504362338001416,3800.499993999999,33.50000600000094,-177.75008940001402,-0.5023323242808262
23.210937488,2026-05-04T22:12:31.718750Z,2026-05-04T22:13:33.142812488Z,0.9376240968704224,0.3258253633975983,0.1869729906320572,-0.4690642164643241,3804.4062439999993,29.593756000000855,-119.54696440001277,-0.5111441293576504
23.218749988,2026-05-04T22:12:31.726562Z,2026-05-04T22:13:33.150624988Z,0.9378427863121032,0.3258874416351318,0.1918628215789795,-0.45600356840500605,3808.3124939999993,25.687506000000774,-61.343839400011525,-0.5199559344344747
23.226562488,2026-05-04T22:12:31.734375Z,2026-05-04T22:13:33.158437488Z,0.9374522566795348,0.3270512819290161,0.1952918618917465,-0.4483058519607539,3812.2187439999993,21.78125600000069,-3.140714400010282,-0.528767739511299
23.234374988,2026-05-04T22:12:31.742187Z,2026-05-04T22:13:33.166249988Z,0.9365149140357972,0.3277806043624878,0.1969986855983734,-0.45232196292634425,3816.1249939999993,17.875006000000607,55.06241059999096,-0.5375795445881232
23.242187488,2026-05-04T22:12:31.750000Z,2026-05-04T22:13:33.174062488Z,0.9363743662834167,0.3288513123989105,0.1961221992969513,-0.4516746797812396,3819.2187464,13.257820600000708,109.91398299999305,-0.5395625183022095
23.249999988,2026-05-04T22:12:31.757812Z,2026-05-04T22:13:33.181874988Z,0.935796320438385,0.3299686014652252,0.1926624178886414,-0.46125260672972246,3821.5624964,7.984383100000595,161.67179549999415,-0.5352419165826552
23.257812488,2026-05-04T22:12:31.765625Z,2026-05-04T22:13:33.189687488Z,0.9354214072227478,0.3306358456611633,0.1887413263320923,-0.47112061904751507,3823.9062464,2.710945600000482,213.42960799999526,-0.530921314863101
23.265624988,2026-05-04T22:12:31.773437Z,2026-05-04T22:13:33.197499988Z,0.9358744621276855,0.3311634659767151,0.1850662678480148,-0.47124908194195475,3826.2499964,-2.562491899999631,265.18742049999634,-0.5266007131435468
23.273437488,2026-05-04T22:12:31.781250Z,2026-05-04T22:13:33.205312488Z,0.9348277449607848,0.3328548967838287,0.1783466041088104,-0.4898255564863844,3828.5937464,-7.835929399999744,316.9452329999975,-0.5222801114239927
23.281249988,2026-05-04T22:12:31.789062Z,2026-05-04T22:13:33.213124988Z,0.9351714253425598,0.3352290987968445,0.1703045219182968,-0.4917609109428919,3832.6562397999996,-10.765625900000016,362.84369299999895,-0.5058342610650753
23.289062488,2026-05-04T22:12:31.796875Z,2026-05-04T22:13:33.220937488Z,0.933640480041504,0.3352445960044861,0.160417228937149,-0.5266539461182029,3839.2968648,-10.179688400000003,399.95306799999975,-0.4712004213442767
