relative_time_s,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch,x_raw,y_raw,z_raw
10.160,2026-05-03T23:57:21.737Z,2026-05-03 19:57:21.737,102631,69,3695,-880,114
10.200,2026-05-03T23:57:21.777Z,2026-05-03 19:57:21.777,102631,70,3718,-1403,247
10.240,2026-05-03T23:57:21.817Z,2026-05-03 19:57:21.817,102631,71,3635,-913,-414
10.280,2026-05-03T23:57:21.857Z,2026-05-03 19:57:21.857,102631,72,3606,-1317,-731
10.320,2026-05-03T23:57:21.897Z,2026-05-03 19:57:21.897,102631,73,3593,-808,-1056
10.360,2026-05-03T23:57:21.937Z,2026-05-03 19:57:21.937,102631,74,3931,97,-784
10.400,2026-05-03T23:57:21.977Z,2026-05-03 19:57:21.977,102631,75,4065,2185,-1494
10.440,2026-05-03T23:57:22.017Z,2026-05-03 19:57:22.017,102631,76,3564,943,-1062
10.480,2026-05-03T23:57:22.057Z,2026-05-03 19:57:22.057,102631,77,3817,1826,-99
10.520,2026-05-03T23:57:22.097Z,2026-05-03 19:57:22.097,102631,78,3874,1351,1112
10.560,2026-05-03T23:57:22.137Z,2026-05-03 19:57:22.137,102631,79,3800,1137,978
10.600,2026-05-03T23:57:22.177Z,2026-05-03 19:57:22.177,102631,80,3844,1570,681
10.640,2026-05-03T23:57:22.217Z,2026-05-03 19:57:22.217,102631,81,3771,978,1397
10.680,2026-05-03T23:57:22.257Z,2026-05-03 19:57:22.257,102631,82,3918,1585,1157
10.720,2026-05-03T23:57:22.297Z,2026-05-03 19:57:22.297,102631,83,3704,899,1381
10.760,2026-05-03T23:57:22.337Z,2026-05-03 19:57:22.337,102631,84,3830,1323,1059
10.800,2026-05-03T23:57:22.377Z,2026-05-03 19:57:22.377,102631,85,4018,1247,1077
10.840,2026-05-03T23:57:22.417Z,2026-05-03 19:57:22.417,102631,86,3991,-754,1723
10.880,2026-05-03T23:57:22.457Z,2026-05-03 19:57:22.457,102631,87,3799,-1727,2095
10.920,2026-05-03T23:57:22.497Z,2026-05-03 19:57:22.497,102631,88,3814,-1101,890
10.960,2026-05-03T23:57:22.537Z,2026-05-03 19:57:22.537,102631,89,3675,-1411,-1498
11.000,2026-05-03T23:57:22.577Z,2026-05-03 19:57:22.577,102631,90,3565,-621,-2172
11.040,2026-05-03T23:57:22.617Z,2026-05-03 19:57:22.617,102631,91,3606,-1429,-2264
11.080,2026-05-03T23:57:22.657Z,2026-05-03 19:57:22.657,102631,92,3570,-863,-2211
