relative_time_s,lord_dynamic_mag_norm,prototype_dynamic_mag_norm,lord_dynamic_envelope_norm,prototype_dynamic_envelope_norm,sample_ts_utc,sample_ts_et
8.160,-0.93602775,-1.07688666,-1.05154764,-1.06976445,2026-05-03T23:57:19.737Z,2026-05-03 19:57:19.737
8.200,-0.98976071,-0.94297292,-1.06987735,-1.09813835,2026-05-03T23:57:19.777Z,2026-05-03 19:57:19.777
8.240,-0.83639509,-0.92661992,-1.09443067,-1.13058254,2026-05-03T23:57:19.817Z,2026-05-03 19:57:19.817
8.280,-0.90601260,-0.98283126,-1.13010850,-1.18523147,2026-05-03T23:57:19.857Z,2026-05-03 19:57:19.857
8.320,-0.92038445,-1.01473809,-1.17448058,-1.22899498,2026-05-03T23:57:19.897Z,2026-05-03 19:57:19.897
8.360,-0.95976845,-1.07683892,-1.20831748,-1.25688167,2026-05-03T23:57:19.937Z,2026-05-03 19:57:19.937
8.400,-0.99309090,-1.09736163,-1.23024058,-1.26735190,2026-05-03T23:57:19.977Z,2026-05-03 19:57:19.977
8.440,-1.00152986,-1.08901794,-1.23063762,-1.26430038,2026-05-03T23:57:20.017Z,2026-05-03 19:57:20.017
8.480,-1.00401037,-1.09071833,-1.23215746,-1.28176048,2026-05-03T23:57:20.057Z,2026-05-03 19:57:20.057
8.520,-0.99087761,-1.05167626,-1.25057267,-1.29600054,2026-05-03T23:57:20.097Z,2026-05-03 19:57:20.097
8.560,-0.94393045,-1.08918306,-1.26033398,-1.30756877,2026-05-03T23:57:20.137Z,2026-05-03 19:57:20.137
8.600,-1.02112765,-1.07268566,-1.26976464,-1.30909064,2026-05-03T23:57:20.177Z,2026-05-03 19:57:20.177
